154480,154480,142,13724
154689,154689,254,24258
154964,154964,287,27324
155381,155381,75,7195
155585,155585,59,5617
155835,155835,126,11998
156240,156240,270,25813
156609,156609,100,9596
156775,156775,68,6325
156995,156995,236,22566
157352,157352,53,5115
157513,157513,86,7911
157734,157734,190,18056
157975,157975,195,18529
158191,158191,56,5095
158279,158279,67,6223
158399,158399,122,11679
158566,158566,244,23456
158953,158953,43,3812
159099,159099,40,3826
159211,159211,66,6060
159322,159322,207,19657
160028,160028,147,14188
160334,160334,141,13390
160533,160533,43,3580
160602,160602,329,31362
160950,160950,198,18946
161167,161167,124,11870
161338,161338,64,6161
161494,161494,154,14951
161714,161714,270,25750
162129,162129,60,5784
162210,162210,63,5767
162293,162293,414,39367
162730,162730,163,15599
162919,162919,167,15972
163313,163313,116,11016
163447,163447,130,12479
163662,163662,63,5803
163745,163745,33,3071
163946,163946,219,20857
164417,164417,125,11844
164577,164577,100,9560
164733,164733,355,33854
165149,165149,278,26676
165739,165739,32,3066
166414,166414,125,12042
166558,166558,232,22211
167912,167912,51,4940
167986,167986,77,7273
168173,168173,50,4562
168273,168273,63,5889
168354,168354,51,4857
168624,168624,57,5412
170012,170012,38,3655
170248,170248,77,7340
170428,170428,113,10815
170549,170549,283,27077
171436,171436,38,3399
171494,171494,380,36462
172077,172077,356,34260
172483,172483,121,11588
173876,173876,51,4940
173950,173950,77,7273
174137,174137,50,4562
174237,174237,63,5889
174318,174318,51,4857
174588,174588,57,5412
175976,175976,38,3655
176212,176212,77,7340
176392,176392,113,10815
176513,176513,283,27077
177400,177400,38,3399
177458,177458,380,36462
178041,178041,356,34260
178447,178447,1125,107281
179594,179594,581,55545
180195,180195,574,54836
180791,180791,127,12215
180943,180943,202,19418
181199,181199,171,16345
182292,182292,38,3305
182976,182976,39,3723
183035,183035,39,3750
183094,183094,35,3176
183213,183213,58,5636
183326,183326,294,28123
183641,183641,49,4559
183713,183713,51,4822
183811,183811,161,15435
184022,184022,62,5871
184105,184105,249,23902
184375,184375,290,27795
184689,184689,131,12579
184954,184954,149,14271
185127,185127,71,6847
185258,185258,264,25240
185540,185540,85,8146
185651,185651,101,9768
185799,185799,156,14980
186025,186025,34,3160
186265,186265,55,5207
186343,186343,84,7693
186775,186775,34,3036
